timestamp,PV (kWh),Load (kWh),price (cents/kWh)
09212011 19:00,123.75,3786,56.9
09212011 20:00,7.756408,3627,50.67
09212011 21:00,0,3333,45.83
09212011 22:00,0,2959,42
09212011 23:00,0,2679,36.7
09222011 00:00,0,2503,35.75
09222011 01:00,0,2404,33.75
09222011 02:00,0,2352,28.73
09222011 03:00,0,2338,29.8
09222011 04:00,0,2419,31.23
09222011 05:00,2.8205155,2698,34.84
09222011 06:00,263.3653825,3185,40.11
09222011 07:00,1178.621796,3453,42.07
09222011 08:00,2869.871796,3578,47.52
09222011 09:00,3664.903847,3663,49.55
09222011 10:00,4123.942306,3722,52.45
09222011 11:00,4362.9807705,3737,54.29
09222011 12:00,4290,3721,55.56
09222011 13:00,3649.3910255,3726,56.71
09222011 14:00,3515.7692295,3692,57.81
09222011 15:00,2584.6474335,3683,58.9
09222011 16:00,1520.256408,3701,58.62
09222011 17:00,647.660255,3736,54.43
09222011 18:00,387.467949,3810,51.69
09222011 19:00,180.5128215,3876,56.12
09222011 20:00,14.4551275,3719,51.69
09222011 21:00,0,3433,45.35
09222011 22:00,0,3067,41.51
09222011 23:00,0,2779,37.29
09232011 00:00,0,2586,37.81
09232011 01:00,0,2475,34.35
09232011 02:00,0,2414,32.92
09232011 03:00,0,2393,31.46
09232011 04:00,0,2466,32.08
09232011 05:00,9.871796,2729,34.6
09232011 06:00,205.5448725,3196,41.15
09232011 07:00,1196.9551275,3446,40.23
09232011 08:00,2577.243592,3567,44.05
09232011 09:00,3543.621796,3659,47.38
09232011 10:00,4050.6089745,3732,50.93
09232011 11:00,4147.211541,3749,54.03
09232011 12:00,4185.6410255,3735,54.1
09232011 13:00,2769.3910255,3737,54.46
09232011 14:00,1579.4871785,3698,55.98
09232011 15:00,1587.596153,3657,57.33
09232011 16:00,1909.4871785,3649,56.88
09232011 17:00,652.243592,3649,53.13
09232011 18:00,368.782051,3706,48.48
09232011 19:00,53.2371785,3735,54.89
09232011 20:00,1.057694,3597,47.22
09232011 21:00,0,3369,44.68
09232011 22:00,0,3069,40.69
09232011 23:00,0,2776,37.32
09242011 00:00,0,2589,39.06
09242011 01:00,0,2475,35.39
09242011 02:00,0,2407,32.41
09242011 03:00,0,2378,31.07
09242011 04:00,0,2414,30.21
09242011 05:00,1.7628215,2509,30.83
09242011 06:00,78.974357,2688,33.46
09242011 07:00,648.717949,2941,34.33
09242011 08:00,1960.256408,3226,36.77
09242011 09:00,3417.403847,3426,42.05
09242011 10:00,4126.7628215,3516,44.19
09242011 11:00,4228.653847,3547,47
09242011 12:00,4065.4166685,3551,48.61
09242011 13:00,3072.243592,3516,48.58
09242011 14:00,2623.0769235,3492,49.04
09242011 15:00,967.788459,3500,48.7
09242011 16:00,365.256408,3556,49.13
09242011 17:00,75.4487195,3599,48.11
09242011 18:00,16.217949,3673,48.4
09242011 19:00,42.307694,3745,51.63
09242011 20:00,9.871796,3597,46.89
09242011 21:00,0,3364,43.39
09242011 22:00,0,3091,39.5
09242011 23:00,0,2828,36.03
09252011 00:00,0,2638,42.23
09252011 01:00,0,2520,39.24
09252011 02:00,0,2446,31.18
09252011 03:00,0,2403,28.88
09252011 04:00,0,2422,28.32
09252011 05:00,1.057694,2483,30.61
09252011 06:00,32.435898,2610,32.83
09252011 07:00,148.4294845,2814,34.75
09252011 08:00,436.474357,3088,39.28
09252011 09:00,843.3333315,3285,44.32
09252011 10:00,1145.4807705,3385,46.98
09252011 11:00,939.5833315,3465,49.25
09252011 12:00,939.5833315,3534,50.6
09252011 13:00,821.8269235,3552,51.57
09252011 14:00,1071.7948725,3548,53.28
09252011 15:00,836.282051,3547,54.62
09252011 16:00,513.685898,3606,53.81
09252011 17:00,235.8653825,3660,52.5
09252011 18:00,109.2948725,3752,51.59
09252011 19:00,32.435898,3858,58.96
09252011 20:00,2.1153825,3672,52.71
09252011 21:00,0,3354,47.54
09252011 22:00,0,2997,43
09252011 23:00,0,2725,39.69
09262011 00:00,0,2541,39.51
09262011 01:00,0,2431,35.25
09262011 02:00,0,2372,33.77
09262011 03:00,0,2351,31.94
09262011 04:00,0,2426,33.02
09262011 05:00,1.410255,2681,36.2
09262011 06:00,71.217949,3134,44.93
09262011 07:00,271.121796,3380,49.72
09262011 08:00,784.4551275,3527,51.32
09262011 09:00,1039.711541,3634,56.04
09262011 10:00,2501.089745,3759,58.62
09262011 11:00,2179.5512805,3857,65.39
09262011 12:00,2652.692306,3886,70.13
09262011 13:00,2760.224357,3926,77.88
09262011 14:00,3289.4230765,3921,81.52
09262011 15:00,2612.8525665,3931,91.97
09262011 16:00,2056.8589745,3924,96.51
09262011 17:00,737.9166685,3903,81.67
09262011 18:00,227.403847,3957,79.7
09262011 19:00,109.6474335,4035,86.85
09262011 20:00,10.224357,3827,57.87
09262011 21:00,0,3463,52.71
09262011 22:00,0,3067,47.1
09262011 23:00,0,2746,41.81
09272011 00:00,0,2543,40.84
09272011 01:00,0,2435,35.44
09272011 02:00,0,2375,34.89
09272011 03:00,0,2343,33.24
09272011 04:00,0,2408,33.24
09272011 05:00,3.1730765,2655,37.15
09272011 06:00,214.3589745,3081,44.87
09272011 07:00,1380.6410255,3295,46.61
09272011 08:00,2933.685898,3404,47.27
09272011 09:00,3774.903847,3487,49.45
09272011 10:00,3899.006408,3587,51.72
09272011 11:00,4457.467949,3643,54.28
09272011 12:00,4196.5705155,3666,57.64
09272011 13:00,3949.775643,3702,58.51
09272011 14:00,3528.1089745,3711,57.59
09272011 15:00,2649.1666685,3707,56.74
09272011 16:00,1589.006408,3706,57.92
09272011 17:00,471.378204,3681,54.37
09272011 18:00,188.2692295,3749,51.21
09272011 19:00,119.871796,3842,59.53
09272011 20:00,9.5192295,3646,50.44
09272011 21:00,0,3343,48.61
09272011 22:00,0,2983,45.03
09272011 23:00,0,2688,38.24
09282011 00:00,0,2501,37.4
09282011 01:00,0,2402,34.79
09282011 02:00,0,2345,32.24
09282011 03:00,0,2329,31.25
09282011 04:00,0,2401,29.92
09282011 05:00,1.410255,2678,36.38
09282011 06:00,98.0128215,3120,42.44
09282011 07:00,1263.942306,3349,44.09
09282011 08:00,2943.2051275,3446,45.76
09282011 09:00,3729.0705155,3530,49.57
09282011 10:00,4241.6987195,3599,50.95
09282011 11:00,4552.660255,3624,52.49
09282011 12:00,4517.0512805,3627,53.64
09282011 13:00,4147.211541,3632,54.47
09282011 14:00,3558.0769235,3594,55.33
09282011 15:00,2690.4166685,3567,54.8
09282011 16:00,1600.288459,3536,53.98
09282011 17:00,530.256408,3558,51.5
09282011 18:00,241.506408,3675,51.62
09282011 19:00,113.1730765,3762,57.42
09282011 20:00,10.224357,3585,49.46
09282011 21:00,0,3282,46.63
09282011 22:00,0,2929,41.32
09282011 23:00,0,2640,36.51
09292011 00:00,0,2448,39.04
09292011 01:00,0,2348,35.03
09292011 02:00,0,2301,33.11
09292011 03:00,0,2292,30.74
09292011 04:00,0,2369,28.85
09292011 05:00,3.878204,2634,37.14
09292011 06:00,184.038459,3108,42.77
09292011 07:00,454.1025665,3356,44.11
09292011 08:00,2614.6153825,3454,46.13
09292011 09:00,3796.410255,3525,49.14
09292011 10:00,4250.8653825,3594,54.12
09292011 11:00,4453.589745,3597,56.91
09292011 12:00,4379.5512805,3581,57.94
09292011 13:00,4042.1474335,3589,57.86
09292011 14:00,3487.211541,3542,56.48
09292011 15:00,2655.5128215,3534,54.34
09292011 16:00,1553.0448725,3566,54.13
09292011 17:00,455.5128215,3665,52.59
09292011 18:00,200.961541,3769,50.11
09292011 19:00,137.8525665,3734,57.87
09292011 20:00,13.75,3528,49.95
09292011 21:00,0,3249,46.37
09292011 22:00,0,2915,38
09292011 23:00,0,2633,36.02
09302011 00:00,0,2432,37.17
09302011 01:00,0,2323,34.33
09302011 02:00,0,2265,31.21
09302011 03:00,0,2254,30.26
09302011 04:00,0,2321,29.46
09302011 05:00,2.8205155,2584,34.61
09302011 06:00,177.339745,3025,41.19
09302011 07:00,822.532051,3242,43.05
09302011 08:00,1300.256408,3351,44.4
09302011 09:00,1258.653847,3420,48.36
09302011 10:00,2664.3269235,3477,51.3
09302011 11:00,2911.474357,3495,52.25
09302011 12:00,4445.128204,3475,51.6
09302011 13:00,4011.8269235,3474,52.22
09302011 14:00,3423.0448725,3444,51.03
09302011 15:00,2761.6346175,3415,51.04
09302011 16:00,1576.6666685,3407,50.74
09302011 17:00,493.942306,3400,49.66
09302011 18:00,225.288459,3500,47.33
09302011 19:00,122.692306,3559,53.23
09302011 20:00,11.6346175,3419,45.03
09302011 21:00,0,3201,40
09302011 22:00,0,2914,36.97
09302011 23:00,0,2649,34.43
10012011 0:00,0,2448,39.05
10012011 1:00,0,2330,30.28
10012011 2:00,0,2270,30.96
10012011 3:00,0,2246,28.48
10012011 4:00,0,2277,28.92
10012011 5:00,0.7051275,2372,31.03
10012011 6:00,65.9294845,2565,33.79
10012011 7:00,449.1666685,2816,34.38
10012011 8:00,1270.6410255,3079,38.89
10012011 9:00,3562.307694,3284,44.87
10012011 10:00,4233.942306,3379,45.59
10012011 11:00,4482.1474335,3394,47.49
10012011 12:00,4414.807694,3381,45.58
10012011 13:00,4118.653847,3343,45.04
10012011 14:00,3491.089745,3279,42.93
10012011 15:00,2639.2948725,3266,42.9
10012011 16:00,1543.1730765,3302,47.14
10012011 17:00,481.25,3392,48.49
10012011 18:00,210.4807705,3468,49.02
10012011 19:00,126.5705155,3426,51.45
10012011 20:00,12.339745,3273,46.96
10012011 21:00,0,3064,40.79
10012011 22:00,0,2787,39.47
10012011 23:00,0,2543,34.86
10022011 0:00,0,2350,37.2
10022011 1:00,0,2242,32.53
10022011 2:00,0,2188,31.11
10022011 3:00,0,2150,28.28
10022011 4:00,0,2179,28.19
10022011 5:00,3.525643,2252,31.51
10022011 6:00,142.435898,2390,33.88
10022011 7:00,1142.307694,2625,35.08
10022011 8:00,2650.224357,2922,37.9
10022011 9:00,3296.8269235,3148,43.36
10022011 10:00,3213.2692295,3253,45.26
10022011 11:00,3633.525643,3288,46.54
10022011 12:00,3588.3974335,3309,45.29
10022011 13:00,4163.782051,3283,45.14
10022011 14:00,3553.1410255,3236,45.37
10022011 15:00,2700.993592,3257,44.96
10022011 16:00,1577.0192295,3321,45.41
10022011 17:00,485.128204,3434,49.31
10022011 18:00,207.307694,3534,49.32
10022011 19:00,132.564102,3496,54.72
10022011 20:00,11.6346175,3336,48.75
10022011 21:00,0,3050,42.61
10022011 22:00,0,2743,38.82
10022011 23:00,0,2505,34.89
10032011 0:00,0,2360,35.37
10032011 1:00,0,2283,34.26
10032011 2:00,0,2245,28.39
10032011 3:00,0,2251,27.83
10032011 4:00,0,2346,28.53
10032011 5:00,2.8205155,2610,31.73
10032011 6:00,153.717949,3097,40.69
10032011 7:00,1051.346153,3333,44.47
10032011 8:00,2901.9551275,3414,46.9
10032011 9:00,3716.378204,3481,48
10032011 10:00,4232.1794845,3549,50.58
10032011 11:00,4393.3012805,3564,50.6
10032011 12:00,4239.2307705,3544,50.57
10032011 13:00,3970.224357,3536,50.53
10032011 14:00,3427.628204,3483,50.31
10032011 15:00,2580.4166685,3452,50.16
10032011 16:00,1809.3589745,3463,50.17
10032011 17:00,735.4487195,3529,50.58
10032011 18:00,422.724357,3694,54.84
10032011 19:00,192.8525665,3743,61.06
10032011 20:00,21.153847,3540,49.99
10032011 21:00,0,3242,48.03
10032011 22:00,0,2906,39.77
10032011 23:00,0,2621,37.71
10042011 0:00,0,2450,34.88
10042011 1:00,0,2345,31.9
10042011 2:00,0,2288,28.11
10042011 3:00,0,2294,24.83
10042011 4:00,0,2376,26
10042011 5:00,1.057694,2632,31.18
10042011 6:00,78.2692295,3114,43.08
10042011 7:00,541.185898,3396,48.97
10042011 8:00,2061.7948725,3465,48.22
10042011 9:00,3768.557694,3525,51.03
10042011 10:00,4240.6410255,3584,51.1
10042011 11:00,4365.8012805,3599,51.39
10042011 12:00,4345.3525665,3570,53.06
10042011 13:00,3940.256408,3556,52.08
10042011 14:00,3410,3513,51.82
10042011 15:00,2595.5769235,3492,51.8
10042011 16:00,1493.814102,3550,52
10042011 17:00,477.724357,3646,55.34
10042011 18:00,197.788459,3758,56.15
10042011 19:00,123.0448725,3750,64.29
10042011 20:00,12.339745,3551,55.49
10042011 21:00,0,3264,51
10042011 22:00,0,2901,42.69
10042011 23:00,0,2620,39.06
10052011 0:00,0,2418,33.04
10052011 1:00,0,2313,31
10052011 2:00,0,2281,27.44
10052011 3:00,0,2276,24.5
10052011 4:00,0,2361,26.15
10052011 5:00,2.467949,2613,32.71
10052011 6:00,144.5512805,3093,43.09
10052011 7:00,990,3312,46.93
10052011 8:00,2835.3205155,3383,45.91
10052011 9:00,3591.9230765,3429,48.08
10052011 10:00,4031.217949,3455,49.78
10052011 11:00,4275.5448725,3466,49.8
10052011 12:00,4221.9551275,3448,49.83
10052011 13:00,3950.8333315,3436,50.06
10052011 14:00,3402.243592,3381,50.2
10052011 15:00,2590.993592,3347,48.79
10052011 16:00,1535.7692295,3362,49.18
10052011 17:00,481.6025665,3445,49.24
10052011 18:00,200.256408,3654,54.51
10052011 19:00,121.6346175,3713,62.11
10052011 20:00,12.339745,3537,53.12
10052011 21:00,0,3247,45.99
10052011 22:00,0,2892,41.92
10052011 23:00,0,2616,34.75
10062011 0:00,0,2427,30.77
10062011 1:00,0,2329,28.63
10062011 2:00,0,2285,24.83
10062011 3:00,0,2296,22.24
10062011 4:00,0,2406,20.72
10062011 5:00,2.1153825,2701,32.95
10062011 6:00,150.192306,3211,40.47
10062011 7:00,887.403847,3425,43.29
10062011 8:00,2688.3012805,3455,47.46
10062011 9:00,3435.3846175,3466,47.74
10062011 10:00,3986.442306,3475,47.67
10062011 11:00,4140.5128215,3459,49.03
10062011 12:00,4098.910255,3445,48.5
10062011 13:00,3341.25,3443,48.55
10062011 14:00,2801.474357,3405,49.15
10062011 15:00,2430.9294845,3382,48.4
10062011 16:00,1102.467949,3403,48.19
10062011 17:00,493.2371785,3477,47.72
10062011 18:00,119.871796,3704,50.28
10062011 19:00,240.8012805,3784,60.6
10062011 20:00,1.410255,3640,47.57
10062011 21:00,0,3373,44.7
10062011 22:00,0,3003,35.44
10062011 23:00,0,2718,34.49
10072011 0:00,0,2518,30.01
10072011 1:00,0,2418,28.22
10072011 2:00,0,2362,24.65
10072011 3:00,0,2375,22.64
10072011 4:00,0,2478,22.48
10072011 5:00,2.1153825,2763,30.09
10072011 6:00,157.9487195,3223,41.46
10072011 7:00,870.128204,3443,42
10072011 8:00,2721.089745,3504,41.48
10072011 9:00,3471.346153,3511,48.4
10072011 10:00,3963.878204,3511,49.32
10072011 11:00,4177.8846175,3467,47.82
10072011 12:00,4165.192306,3402,47.49
10072011 13:00,3860.9294845,3381,53.09
10072011 14:00,3326.7948725,3346,48.72
10072011 15:00,2545.160255,3294,47.16
10072011 16:00,1551.6346175,3303,46.29
10072011 17:00,428.0128215,3347,45.63
10072011 18:00,181.5705155,3529,48.8
10072011 19:00,119.1666685,3580,56.74
10072011 20:00,7.403847,3449,46.14
10072011 21:00,0,3230,44.2
10072011 22:00,0,2929,40.98
10072011 23:00,0,2689,32.18
10082011 0:00,0,2490,32
10082011 1:00,0,2377,28.56
10082011 2:00,0,2309,26.51
10082011 3:00,0,2290,28.41
10082011 4:00,0,2329,28.58
10082011 5:00,1.057694,2443,29.45
10082011 6:00,109.2948725,2640,32
10082011 7:00,697.0192295,2882,29.55
10082011 8:00,2558.2051275,3112,33.73
10082011 9:00,3576.410255,3210,39.24
10082011 10:00,4107.0192295,3206,44.39
10082011 11:00,4295.6410255,3197,45.44
10082011 12:00,4250.160255,3162,44.39
10082011 13:00,3994.903847,3132,45.42
10082011 14:00,3408.589745,3106,44.53
10082011 15:00,2610.3846175,3119,44.78
10082011 16:00,1572.435898,3163,45.21
10082011 17:00,508.0448725,3247,45.43
10082011 18:00,215.7692295,3451,54.94
10082011 19:00,127.275643,3473,55.77
10082011 20:00,12.692306,3343,46.56
10082011 21:00,0,3131,44.14
10082011 22:00,0,2846,40.24
10082011 23:00,0,2594,36.52
10092011 0:00,0,2411,31.09
10092011 1:00,0,2307,28
10092011 2:00,0,2248,24.68
10092011 3:00,0,2216,21.42
10092011 4:00,0,2245,21.11
10092011 5:00,1.410255,2332,24.28
10092011 6:00,144.903847,2492,25.92
10092011 7:00,802.0833315,2701,26.53
10092011 8:00,2701.346153,2979,31.51
10092011 9:00,3549.6153825,3163,41.66
10092011 10:00,4095.032051,3211,43.24
10092011 11:00,4334.775643,3233,45.37
10092011 12:00,3830.961541,3231,46.01
10092011 13:00,3713.2051275,3217,49.33
10092011 14:00,2784.5512805,3221,47.78
10092011 15:00,1782.211541,3257,55.12
10092011 16:00,900.4487195,3340,52.7
10092011 17:00,605.3525665,3408,55.79
10092011 18:00,366.6666685,3568,60.18
10092011 19:00,151.6025665,3583,65.41
10092011 20:00,12.339745,3414,55.29
10092011 21:00,0,3153,51.15
10092011 22:00,0,2842,44.27
10092011 23:00,0,2596,39.13
10102011 0:00,0,2443,31.93
10102011 1:00,0,2342,29.5
10102011 2:00,0,2294,26.92
10102011 3:00,0,2285,23.27
10102011 4:00,0,2360,22.99
10102011 5:00,1.410255,2551,31.57
10102011 6:00,133.621796,2885,38.22
10102011 7:00,823.2371785,3151,39.4
10102011 8:00,2923.1089745,3373,46.47
10102011 9:00,3785.128204,3532,48.56
10102011 10:00,4351.6987195,3633,58.65
10102011 11:00,4012.8846175,3677,72
10102011 12:00,4470.8653825,3675,64.25
10102011 13:00,4026.282051,3664,67.06
10102011 14:00,3655.032051,3645,68.09
10102011 15:00,2804.6474335,3626,74.11
10102011 16:00,1676.089745,3640,71.17
10102011 17:00,536.9551275,3678,69.35
10102011 18:00,204.839745,3843,69.36
10102011 19:00,124.4551275,3841,77.53
10102011 20:00,11.9871785,3614,53.7
10102011 21:00,0,3286,49.19
10102011 22:00,0,2908,41.7
10102011 23:00,0,2633,37.35
10112011 0:00,0,2434,32.57
10112011 1:00,0,2349,30.47
10112011 2:00,0,2289,28.67
10112011 3:00,0,2273,27.19
10112011 4:00,0,2372,28.06
10112011 5:00,1.057694,2641,32.02
10112011 6:00,66.9871785,3111,36.94
10112011 7:00,921.6025665,3341,42.29
10112011 8:00,2051.217949,3395,44.21
10112011 9:00,2642.8205155,3424,46.66
10112011 10:00,3956.474357,3454,47.41
10112011 11:00,4417.628204,3470,47.81
10112011 12:00,4389.775643,3466,58
10112011 13:00,4044.6153825,3483,54.19
10112011 14:00,3513.653847,3448,54.55
10112011 15:00,2691.474357,3422,53.64
10112011 16:00,1608.0448725,3429,53.09
10112011 17:00,526.7307705,3497,51.92
10112011 18:00,208.3653825,3730,59.54
10112011 19:00,127.9807705,3706,62.56
10112011 20:00,11.9871785,3514,49.75
10112011 21:00,0,3207,46.42
10112011 22:00,0,2854,39.67
10112011 23:00,0,2584,31.72
10122011 0:00,0,2415,31.82
10122011 1:00,0,2317,30.11
10122011 2:00,0,2271,24.98
10122011 3:00,0,2287,24.19
10122011 4:00,0,2370,23.88
10122011 5:00,1.410255,2646,29.96
10122011 6:00,252.435898,3137,38.42
10122011 7:00,764.3589745,3364,42.82
10122011 8:00,2116.442306,3409,46.63
10122011 9:00,3040.5128215,3442,48.13
10122011 10:00,3923.685898,3468,50.22
10122011 11:00,4301.6346175,3452,51.29
10122011 12:00,4272.0192295,3434,55.27
10122011 13:00,4007.596153,3456,55.53
10122011 14:00,3462.532051,3429,55
10122011 15:00,2677.371796,3387,50.6
10122011 16:00,1593.942306,3426,50.78
10122011 17:00,530.6089745,3554,51.65
10122011 18:00,209.4230765,3755,58.35
10122011 19:00,110.3525665,3725,59.37
10122011 20:00,11.9871785,3542,49.35
10122011 21:00,0,3237,44.3
10122011 22:00,0,2879,39.22
10122011 23:00,0,2589,30.74
10132011 00:00,0,2404,32.55
10132011 01:00,0,2328,30.77
10132011 02:00,0,2284,28.61
10132011 03:00,0,2288,27.06
10132011 04:00,0,2379,28.01
10132011 05:00,2.467949,2640,33.54
10132011 06:00,103.653847,3142,41.65
10132011 07:00,407.211541,3403,45.94
10132011 08:00,778.461541,3479,47.55
10132011 09:00,2444.6794845,3554,49.33
10132011 10:00,3966.6987195,3597,50.58
10132011 11:00,4267.435898,3579,50.81
10132011 12:00,2923.814102,3550,50.28
10132011 13:00,3102.9166685,3549,50.61
10132011 14:00,2185.5448725,3516,51.34
10132011 15:00,1094.3589745,3475,51.24
10132011 16:00,989.2948725,3503,50.72
10132011 17:00,590.192306,3609,51.24
10132011 18:00,495,3760,59.26
10132011 19:00,156.538459,3715,62.6
10132011 20:00,8.814102,3541,50.53
10132011 21:00,0,3268,48.52
10132011 22:00,0,2914,44.56
10132011 23:00,0,2632,39.31
10142011 00:00,0,2434,34.47
10142011 01:00,0,2331,32.87
10142011 02:00,0,2275,31.51
10142011 03:00,0,2276,30.79
10142011 04:00,0,2356,31.48
10142011 05:00,0.35255,2612,35.47
10142011 06:00,32.0833315,3086,42.7
10142011 07:00,349.3910255,3354,46.68
10142011 08:00,1008.3333315,3408,47.9
10142011 09:00,1903.1410255,3475,51.59
10142011 10:00,2660.4487195,3522,53.98
10142011 11:00,2993.2692295,3532,54.2
10142011 12:00,1735.3205155,3514,55.64
10142011 13:00,857.0833315,3500,57.03
10142011 14:00,952.275643,3473,56.57
10142011 15:00,675.160255,3463,55.49
10142011 16:00,361.378204,3519,55.86
10142011 17:00,282.403847,3597,55.14
10142011 18:00,149.4871785,3667,59.08
10142011 19:00,37.371796,3575,60.54
10142011 20:00,1.410255,3418,52.5
10142011 21:00,0,3192,46.76
10142011 22:00,0,2894,42.1
10142011 23:00,0,2622,40.5
10152011 00:00,0,2424,32.82
10152011 01:00,0,2301,29.8
10152011 02:00,0,2235,26.01
10152011 03:00,0,2211,26.39
10152011 04:00,0,2245,25.9
10152011 05:00,0.7051275,2345,25.98
10152011 06:00,110,2538,29.83
10152011 07:00,728.3974335,2759,32.46
10152011 08:00,3102.9166685,2998,36.89
10152011 09:00,4075.6410255,3129,39.33
10152011 10:00,4560.7692295,3182,42.77
10152011 11:00,4819.1987195,3149,42.58
10152011 12:00,4629.871796,3097,43.3
10152011 13:00,4450.064102,3059,41.71
10152011 14:00,3782.660255,3017,41.68
10152011 15:00,2835.6730765,2998,41.18
10152011 16:00,1799.839745,3050,41.28
10152011 17:00,633.910255,3155,41.65
10152011 18:00,223.878204,3364,48.64
10152011 19:00,131.506408,3333,49.05
10152011 20:00,11.6346175,3199,44.49
10152011 21:00,0,3013,40.22
10152011 22:00,0,2764,38.24
10152011 23:00,0,2540,33.33
10162011 00:00,0,2373,30.93
10162011 01:00,0,2264,24.8
10162011 02:00,0,2203,21.89
10162011 03:00,0,2187,22.43
10162011 04:00,0,2219,21.9
10162011 05:00,0.7051275,2281,22.8
10162011 06:00,127.275643,2426,26.57
10162011 07:00,710.064102,2622,27.69
10162011 08:00,2910.4166685,2871,31.13
10162011 09:00,3844.3589745,3052,34.66
10162011 10:00,4333.3653825,3109,35.97
10162011 11:00,4544.1987195,3133,39.47
10162011 12:00,4484.6153825,3123,39.12
10162011 13:00,4138.3974335,3076,38.07
10162011 14:00,3585.224357,3042,38.66
10162011 15:00,2794.775643,3048,39.55
10162011 16:00,1695.128204,3141,39.92
10162011 17:00,544.3589745,3300,42.49
10162011 18:00,196.378204,3496,49.44
10162011 19:00,118.814102,3458,52.8
10162011 20:00,10.224357,3286,47.31
10162011 21:00,0,2995,42.73
10162011 22:00,0,2694,39.25
10162011 23:00,0,2460,33.2
10172011 00:00,0,2319,28.39
10172011 01:00,0,2237,28.18
10172011 02:00,0,2214,25.2
10172011 03:00,0,2219,24.65
10172011 04:00,0,2323,25.91
10172011 05:00,0.7051275,2580,30.15
10172011 06:00,135.032051,3073,38.57
10172011 07:00,781.9871785,3290,46.37
10172011 08:00,2734.4871785,3335,47.33
10172011 09:00,3674.0705155,3366,49.79
10172011 10:00,4141.9230765,3404,51.88
10172011 11:00,4298.814102,3424,52.72
10172011 12:00,4265.3205155,3402,55.24
10172011 13:00,4099.6153825,3399,52.03
10172011 14:00,3028.878204,3377,52.72
10172011 15:00,2237.0192295,3356,51.9
10172011 16:00,2372.756408,3411,50.85
10172011 17:00,783.75,3562,52.01
10172011 18:00,291.217949,3756,74.03
10172011 19:00,132.564102,3689,67.18
10172011 20:00,11.282051,3496,51.39
10172011 21:00,0,3200,46.5
10172011 22:00,0,2855,40.96
10172011 23:00,0,2588,34.56
10182011 00:00,0,2413,25.2
10182011 01:00,0,2321,23.22
10182011 02:00,0,2280,23.4
10182011 03:00,0,2282,22.82
10182011 04:00,0,2368,23
10182011 05:00,0.7051275,2638,26.9
10182011 06:00,119.871796,3133,39.25
10182011 07:00,667.403847,3357,43.79
10182011 08:00,2766.5705155,3379,45.34
10182011 09:00,3580.993592,3419,48.96
10182011 10:00,4111.6025665,3462,52.21
10182011 11:00,4322.435898,3465,51.44
10182011 12:00,4295.288459,3447,51.69
10182011 13:00,3950.8333315,3446,51.69
10182011 14:00,3433.621796,3384,51.65
10182011 15:00,2806.7628215,3333,51.11
10182011 16:00,1712.0512805,3373,51.29
10182011 17:00,569.3910255,3508,52.6
10182011 18:00,242.211541,3726,72
10182011 19:00,95.8974335,3682,64.56
10182011 20:00,7.403847,3495,49.28
10182011 21:00,0,3198,44.04
10182011 22:00,0,2844,40.84
10182011 23:00,0,2584,34.14
10192011 00:00,0,2414,32.57
10192011 01:00,0,2321,30.28
10192011 02:00,0,2284,30.24
10192011 03:00,0,2286,30.13
10192011 04:00,0,2389,30.38
10192011 05:00,0.7051275,2651,33.91
10192011 06:00,117.756408,3147,42.09
10192011 07:00,630.3846175,3397,46.5
10192011 08:00,2561.025643,3429,48.62
10192011 09:00,3411.410255,3481,51.28
10192011 10:00,3851.410255,3519,54
10192011 11:00,3958.942306,3508,53.16
10192011 12:00,3754.807694,3471,53.38
10192011 13:00,2629.0705155,3466,55.88
10192011 14:00,2611.089745,3438,55.5
10192011 15:00,2590.288459,3426,55.35
10192011 16:00,1789.2628215,3519,55.74
10192011 17:00,857.0833315,3684,61.15
10192011 18:00,323.653847,3785,79.08
10192011 19:00,170.288459,3713,71.7
10192011 20:00,11.6346175,3505,50.9
10192011 21:00,0,3212,47.02
10192011 22:00,0,2876,39.96
10192011 23:00,0,2607,36.44
10202011 00:00,0,2431,33.47
10202011 01:00,0,2333,30.3
10202011 02:00,0,2289,29.71
10202011 03:00,0,2293,29.18
10202011 04:00,0,2389,29.67
10202011 05:00,0,2663,32.61
10202011 06:00,10.5769235,3146,41.83
10202011 07:00,76.8589745,3411,44.76
10202011 08:00,227.756408,3458,46.56
10202011 09:00,436.121796,3537,48.88
10202011 10:00,487.596153,3577,49.52
10202011 11:00,1100.7051275,3592,50.52
10202011 12:00,2133.0128215,3550,53.03
10202011 13:00,2250.7692295,3525,54.04
10202011 14:00,2720.032051,3457,53.73
10202011 15:00,2041.346153,3431,50.15
10202011 16:00,1168.3974335,3448,50
10202011 17:00,933.942306,3523,49.76
10202011 18:00,505.5769235,3720,66.91
10202011 19:00,182.9807705,3673,57.45
10202011 20:00,23.2692295,3521,48.29
10202011 21:00,0,3242,45.23
10202011 22:00,0,2896,39.12
10202011 23:00,0,2627,35.27
10212011 00:00,0,2440,31.48
10212011 01:00,0,2338,30.56
10212011 02:00,0,2287,29.94
10212011 03:00,0,2280,29.37
10212011 04:00,0,2365,29.89
10212011 05:00,0,2618,34.13
10212011 06:00,43.3653825,3087,42
10212011 07:00,481.6025665,3337,45.98
10212011 08:00,1367.9487195,3388,45.11
10212011 09:00,1001.9871785,3425,46.86
10212011 10:00,1256.8910255,3444,47.93
10212011 11:00,3119.4871785,3443,49.28
