timestamp,PV (kWh),Load (kWh),price (cents/kWh)
01072011 21:00,0,3647,53.62
01072011 22:00,0,3383,48.42
01072011 23:00,0,3108,46.12
01082011 0:00,0,2905,49.22
01082011 1:00,0,2793,42.69
01082011 2:00,0,2736,40.33
01082011 3:00,0,2724,39.81
01082011 4:00,0,2758,39.38
01082011 5:00,0,2861,40.31
01082011 6:00,0,3043,45.96
01082011 7:00,55.3525665,3293,49.38
01082011 8:00,995.288459,3533,47.13
01082011 9:00,3579.5833315,3721,65.63
01082011 10:00,3135,3785,63.15
01082011 11:00,4398.2371785,3805,59.4
01082011 12:00,4246.9871785,3729,57.63
01082011 13:00,4203.974357,3651,52.38
01082011 14:00,3644.1025665,3586,49.78
01082011 15:00,1210.3525665,3600,49.77
01082011 16:00,1053.814102,3849,63
01082011 17:00,441.057694,4056,89.04
01082011 18:00,54.6474335,3972,84
01082011 19:00,0,3828,79.28
01082011 20:00,0,3669,74.24
01082011 21:00,0,3457,63.73
01082011 22:00,0,3220,52.65
01082011 23:00,0,2986,49.85
01092011 0:00,0,2784,55.39
01092011 1:00,0,2680,48.37
01092011 2:00,0,2626,44.9
01092011 3:00,0,2613,42.47
01092011 4:00,0,2640,42.13
01092011 5:00,0,2724,42.59
01092011 6:00,0,2873,48.74
01092011 7:00,56.7628215,3073,48.76
01092011 8:00,970.6089745,3307,48.45
01092011 9:00,3742.467949,3475,52.87
01092011 10:00,4571.346153,3547,53.32
01092011 11:00,4971.8589745,3593,54.53
01092011 12:00,4654.903847,3582,53.07
01092011 13:00,3867.9807705,3546,49.43
01092011 14:00,3575.3525665,3511,48.26
01092011 15:00,2710.160255,3547,49.81
01092011 16:00,1422.596153,3846,57.71
01092011 17:00,297.9166685,4128,81.79
01092011 18:00,45.4807705,4075,79.82
01092011 19:00,0,3936,78.74
01092011 20:00,0,3771,71.26
01092011 21:00,0,3485,62.37
01092011 22:00,0,3199,51.7
01092011 23:00,0,2977,51.69
01102011 0:00,0,2830,51.33
01102011 1:00,0,2763,45.21
01102011 2:00,0,2744,42.73
01102011 3:00,0,2763,42.01
01102011 4:00,0,2877,43.27
01102011 5:00,0,3159,48.99
01102011 6:00,0,3678,60
01102011 7:00,52.8846175,3930,68.86
01102011 8:00,892.339745,3949,70.91
01102011 9:00,3655.7371785,3948,76.3
01102011 10:00,4397.532051,3954,75.42
01102011 11:00,4628.1089745,3933,72.19
01102011 12:00,4525.160255,3875,69.65
01102011 13:00,4321.025643,3847,69.61
01102011 14:00,3280.961541,3782,66.08
01102011 15:00,2725.6730765,3785,68.51
01102011 16:00,1395.8012805,4024,78.48
01102011 17:00,368.782051,4337,91.91
01102011 18:00,50.064102,4319,88.14
01102011 19:00,0,4209,85.41
01102011 20:00,0,4002,85.55
01102011 21:00,0,3718,63
01102011 22:00,0,3380,54.33
01102011 23:00,0,3112,52.84
01112011 0:00,0,2941,50.95
01112011 1:00,0,2853,44.6
01112011 2:00,0,2813,42.76
01112011 3:00,0,2827,42.68
01112011 4:00,0,2916,42.47
01112011 5:00,0,3216,47.66
01112011 6:00,0,3729,62.5
01112011 7:00,56.057694,3936,69.58
01112011 8:00,445.6410255,3934,63
01112011 9:00,2467.9487195,3936,75.29
01112011 10:00,4174.3589745,3928,74.16
01112011 11:00,4401.410255,3884,70.08
